state,patients,value
Wyoming,595,5
Wisconsin,5544,5
West Virginia,1524,4
Washington,14520,3
Virginia,18300,2
Virgin Islands,948,3
Vermont,972,5
Utah,3580,3
Texas,85040,5
Tennessee,7668,5
South Dakota,3168,2
South Carolina,16112,1
Rhode Island,7800,3
Puerto Rico,2448,3
Pennsylvania,4130,4
Oregon,7668,3
Oklahoma,4008,1
Ohio,8228,1
North Dakota,1530,1
North Carolina,7464,1
New York,11788,4
New Mexico,1818,4
New Jersey,8964,3
New Hampshire,6336,1
Nevada,6380,5
Nebraska,2493,5
Montana,2112,2
Missouri,1651,4
Mississippi,431,5
Minnesota,4416,3
Michigan,6970,2
Massachusetts,4136,3
Maryland,2565,5
Maine,880,2
Louisiana,7305,3
Kentucky,25665,1
Kansas,3216,3
Iowa,13325,4
Indiana,4052,3
Illinois,18120,1
Idaho,642,2
Hawaii,9000,1
Georgia,1221,5
Florida,35478,1
Delaware,225,2
DC,4040,4
Connecticut,7776,2
Colorado,7964,3
California,11150,1
Arkansas,1905,2
Arizona,8180,2
Alabama,1360,2
